PC1,PC2,cluster,category,season,is_weekend
-0.6224040979720218,1.3746618060713909,1,residential,winter,0
-0.9490551950177201,0.9309739697801925,1,residential,winter,1
-1.629053946241336,-0.08152987328865505,1,residential,winter,1
-1.6133159469354037,-0.08505171063606654,1,residential,winter,0
-1.632015230492388,-0.061329847532350726,1,residential,winter,0
-1.6317929786425103,-0.06129700856599976,1,residential,winter,0
-1.631582471484916,-0.06126590497118609,1,residential,winter,0
-1.6313837739872936,-0.06123654645262866,1,residential,winter,0
-1.637847382372044,-0.06872087380278201,1,residential,winter,1
-1.637672470193375,-0.06869502876848664,1,residential,winter,1
-1.6308590975341009,-0.06115902105376994,1,residential,winter,0
-1.6306966847550948,-0.061156743630260746,1,residential,winter,0
-1.148346299881769,0.6291322507815681,1,residential,winter,0
-1.453863216915746,0.1873772904908422,1,residential,winter,0
-1.6303280076178335,-0.06108055341609652,1,residential,winter,0
-1.3824196020732236,0.29441752798037335,1,residential,winter,1
-1.6268613861148538,-0.07818131203983837,1,residential,winter,1
-1.6300574206311533,-0.061040570264407956,1,residential,winter,0
-1.6299917170105338,-0.06103086199799572,1,residential,winter,0
-1.6299382881514621,-0.061022967241965126,1,residential,winter,0
-1.6298971536147724,-0.06101689007451345,1,residential,winter,0
-1.629868330098305,-0.0610126305677227,1,residential,winter,0
-1.6365022578286803,-0.06852212355492074,1,residential,winter,1
-1.636498068064213,-0.0685215037352375,1,residential,winter,1
-1.619427189694218,-0.04574147384485575,1,residential,winter,0
-1.4245962570645707,0.23338709182500716,1,residential,winter,0
-1.5888618544560154,-0.004257749430420967,1,residential,winter,0
-1.4213373676105119,0.2371710367083931,1,residential,winter,0
-1.1343842457082836,0.6495136085557459,1,residential,winter,0
-1.1687685472981546,0.6087459015758686,1,residential,winter,1
-0.43604197389223937,1.591957860591103,1,residential,winter,1
-1.6302570416338793,-0.06107006189162479,1,residential,winter,0
-1.6303633586258726,-0.06108577164874487,1,residential,winter,0
-0.8798355632499083,0.947674007098639,1,residential,winter,0
-1.630612461792182,-0.06112257848502321,1,residential,winter,0
-1.6307551680173247,-0.06114366204192468,1,residential,winter,0
-1.6375603755810915,-0.06867846287034356,1,residential,winter,1
-1.6377271470251853,-0.0687031027798446,1,residential,winter,1
-1.4440242692972365,0.20667263744916933,1,residential,winter,0
-1.0929644016937972,0.693463106705136,1,residential,winter,0
-1.1775191065009798,0.5940554873721906,1,residential,winter,0
-1.638513278729027,-0.06881926090000283,1,residential,winter,0
-0.634797290401616,1.3133045169885451,1,residential,winter,0
-0.5036927333132535,1.4946814756001394,1,residential,winter,1
0.11169868054399308,2.341550938896496,1,residential,winter,1
-1.6394328096363997,-0.06905115299729352,1,residential,winter,0
-0.7403194365932283,1.2224676425026793,1,residential,winter,0
0.00486129071415999,2.1917102251049423,1,residential,winter,0
-0.2111402275475378,1.9068738657298985,1,residential,winter,0
-1.1988480142291682,0.5552773101158233,1,residential,winter,0
-1.0538156270190073,0.7162672042935049,1,residential,winter,1
-0.12907925445671922,2.0348119963433717,1,residential,winter,1
-0.3806961249244798,1.611194952528269,1,residential,winter,0
